fund_code,fund_name,n_managers,max_tenure_years,min_tenure_years,recent_manager_added,manager_names,tenure_list,qieman_net_asset
014805,国金量化精选混合A,1,4.2,4.2,False,马芳,4.2,79.14亿
010646,融通价值趋势混合A,1,2.8,2.8,False,李进,2.8,2.05亿
005962,宝盈人工智能股票A,1,0.6,0.6,False,叶秀贤,0.6,10.06亿
016810,信澳博见成长一年定期开放混合A,1,3.1,3.1,False,李博,3.1,3.31亿
501046,财通多策略福鑫定开混合,1,8.1,8.1,False,金梓才,8.1,3.35亿
501219,华夏智胜先锋股票(LOF)A,1,4.5,4.5,False,孙蒙,4.5,28.66亿
000061,华夏盛世混合,1,1,1,False,连骁,1,9.85亿
001105,信澳转型创新股票A,1,4.5,4.5,False,朱然,4.5,3.33亿
002560,诺安和鑫灵活配置混合A,1,2.7,2.7,False,陈衍鹏,2.7,30.71亿
519158,新华趋势领航混合,1,3.6,3.6,False,赵强,3.6,4.38亿
015289,格林高股息优选混合A,1,3.6,3.6,False,刘赞,3.6,4.47亿
001800,华安新乐享灵活配置混合A,2,4.1,4.1,False,张瑞|郑伟山,4.1|4.1,9.23亿
017987,易方达国企主题混合A,1,3,3,False,张晓宇,3,5.69亿
003189,汇添富保鑫灵活配置混合A,1,5.4,5.4,False,胡奕,5.4,6.60亿
001305,九泰天富改革混合A,1,1.6,1.6,False,霍霄,1.6,1.17亿
008980,中邮科技创新精选混合A,1,4.4,4.4,False,王瑶,4.4,6.60亿
009098,景顺长城价值领航混合,1,1.1,1.1,False,刘苏,1.1,7.74亿
016297,中欧丰泰港股通混合A,1,3.7,3.7,False,罗佳明,3.7,11.90亿
014207,华安产业精选混合A,1,4.5,4.5,False,刘畅畅,4.5,13.24亿
007449,兴全多维价值混合A,1,4.9,4.9,False,杨世进,4.9,54.25亿
008576,财通碳中和一年持有期混合A,1,2.9,2.9,False,唐家伟,2.9,8397.63万
018325,国泰海通创新成长混合A,1,1.7,1.7,False,陈思靖,1.7,50.98亿
009892,富国成长策略混合A,1,5.8,5.8,False,许炎,5.8,27.58亿
700003,平安策略先锋混合,1,9.9,9.9,False,神爱前,9.9,21.52亿
005009,申万菱信行业轮动股票A,1,3.2,3.2,False,苗琦,3.2,6.25亿
000936,博时产业新动力混合A,2,11.4,0.1,True,郭永升|蔡滨,0.1|11.4,3.49亿
001959,华商乐享互联灵活配置混合A,1,3.8,3.8,False,余懿,3.8,10.67亿
011834,大成投资严选六月持有混合A,1,4.9,4.9,False,徐彦,4.9,11.93亿
014287,泰康新锐成长混合A,1,3.5,3.5,False,韩庆,3.5,57.93亿
006265,红土创新新科技股票A,1,3.5,3.5,False,盖俊龙,3.5,10.29亿
001247,华泰柏瑞新利混合A,2,6,5.8,False,郑青|董辰,6|5.8,21.87亿
519029,华夏平稳增长,1,11.3,11.3,False,彭海伟,11.3,14.88亿
012294,泰康优势精选三年持有期混合,1,4.8,4.8,False,薛小波,4.8,2.31亿
011488,申万菱信乐享混合A,1,5.2,5.2,False,付娟,5.2,7.57亿
001745,易方达瑞富灵活配置混合I,1,2.9,2.9,False,林虎,2.9,5.79亿
001415,中信保诚新锐混合A,1,6.4,6.4,False,王颖,6.4,1.52亿
012647,中欧洞见一年持有混合,1,3.9,3.9,False,代云锋,3.9,8.69亿
014198,华夏智胜先锋股票C,1,4.5,4.5,False,孙蒙,4.5,28.66亿
001532,华安文体健康混合A,2,6.4,2.9,False,刘畅畅|桑翔宇,6.4|2.9,23.68亿
501081,中欧科创主题混合(LOF)A,1,6.3,6.3,False,邵洁,6.3,25.36亿
017483,财通资管数字经济混合A,1,0.2,0.2,True,李响,0.2,52.43亿
011884,工银景气优选混合A,1,3.9,3.9,False,杨柯,3.9,6.57亿
014818,国金新兴价值混合A,1,2.2,2.2,False,张望,2.2,2.26亿
003373,大成景禄灵活配置混合A,1,3.2,3.2,False,李煜,3.2,1.46亿
009491,宝盈创新驱动股票A,1,3.2,3.2,False,容志能,3.2,9.31亿
004695,东兴未来价值混合A,2,2.8,2.8,False,张旭|李兵伟,2.8|2.8,3.34亿
