fund_code,fund_name,index_code,index_name,tracking_error,info_ratio_track
001512,易方达中债3-5年期国债指数,CBOND_国债总指数_3-5年,中债3-5年国债财富指数,0.008440333306672454,-0.2798632345385181
003358,易方达中债7-10年期国开行债券指数A,CBOND_国开行债券总指数_7-10年,中债7-10年国开行债券财富指数,0.0071310033332881535,-0.16852788252742315
003376,广发中债7-10年国开债指数A,CBOND_国开行债券总指数_7-10年,中债7-10年国开行债券财富指数,0.007297540410708817,0.41182949401674607
003377,广发中债7-10年国开债指数C,CBOND_国开行债券总指数_7-10年,中债7-10年国开行债券财富指数,0.007368207581284948,-0.09061324219072255
005623,广发中债1-3年农发债指数A,CBOND_农发行债券总指数_1-3年,中债1-3年农发行债券财富指数,0.0038445257369624595,-0.5004764719157879
005624,广发中债1-3年农发债指数C,CBOND_农发行债券总指数_1-3年,中债1-3年农发行债券财富指数,0.01342017156247247,0.11761724811019877
006224,中银中债3-5年期农发行债券指数A,CBOND_农发行债券总指数_3-5年,中债3-5年农发行债券财富指数,0.005204274088906776,-1.1223697450254841
006409,富国中债-1-3年国开行债券指数A,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.0036293746001593197,-0.510747009300688
006410,富国中债-1-3年国开行债券指数C,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.0036976961229490913,-0.8785488271123314
006484,广发中债1-3年国开债指数A,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.004270383194668664,-0.24840172180373954
006485,广发中债1-3年国开债指数C,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.004273552145691544,-0.47128073184586644
006491,南方1-3年国开债A,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.0037271088768353953,-0.728113152360246
006492,南方1-3年国开债C,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.003715662567562939,-0.9968716696196774
006493,南方中债3-5年农发行债券指数A,CBOND_农发行债券总指数_3-5年,中债3-5年农发行债券财富指数,0.005674876096452421,-0.756532415917858
006494,南方中债3-5年农发行债券指数C,CBOND_农发行债券总指数_3-5年,中债3-5年农发行债券财富指数,0.006395332702105372,-0.7061792406897873
006745,交银中债1-3年农发债指数A,CBOND_农发行债券总指数_1-3年,中债1-3年农发行债券财富指数,0.004122335617264236,-0.5230091268005391
006746,交银中债1-3年农发债指数C,CBOND_农发行债券总指数_1-3年,中债1-3年农发行债券财富指数,0.0067152281912328474,-2.4761818338298047
006959,浦银中债3-5年农发债指数A,CBOND_农发行债券总指数_3-5年,中债3-5年农发行债券财富指数,0.005397184198558038,-0.6655094244440882
006960,浦银中债3-5年农发债指数C,CBOND_农发行债券总指数_3-5年,中债3-5年农发行债券财富指数,0.005405999624366776,-0.8247057144382336
006961,南方中债7-10年国开行债券指数A,CBOND_国开行债券总指数_7-10年,中债7-10年国开行债券财富指数,0.008214006647789237,0.35261100000290574
006962,南方中债7-10年国开行债券指数C,CBOND_国开行债券总指数_7-10年,中债7-10年国开行债券财富指数,0.008280640215408681,0.23282775388814042
007000,鹏华中债1-3年国开行债券指数A,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.003923562338327249,-0.36441789278352815
007001,鹏华中债1-3年国开行债券指数C,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.004095289607548971,-0.40059084702494663
007026,建信中债1-3年国开债A,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.0034615126342393745,-0.4222344263863133
007027,建信中债1-3年国开债C,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.003436187867132744,-0.6669239450440022
007035,中银中债1-3年期国开行债券指数A,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.005400983834738163,-1.1130446148752888
007078,工银3-5年国开债指数A,CBOND_国开行债券总指数_3-5年,中债3-5年国开行债券财富指数,0.006036490671811033,-0.4184806867964758
007079,工银3-5年国开债指数C,CBOND_国开行债券总指数_3-5年,中债3-5年国开行债券财富指数,0.006107921350128077,-0.5448159779843758
007092,鑫元中债3-5年国开行债券指数A,CBOND_国开行债券总指数_3-5年,中债3-5年国开行债券财富指数,0.005898795974896444,-0.601294910403761
