fund_code,pick_effect,note
000212,-0.00429459,泰信鑫益定开-纯债-L3样例(券种选择效应,且慢getFundCampisiIndicator近1年)
000134,-0.00642541,中信保诚嘉鸿-纯债-L3样例
000128,-0.00813809,大成景安短融-纯债-L3样例
