fund_code,fund_name,index_code,family,tracking_error,info_ratio_track
018723,华泰保兴中证同业存单AAA指数7天持有期,931059.CSI,同业存单AAA,0.0016227973866788066,-7.784698263653129
018808,财通中证同业存单AAA指数7天持有期,931059.CSI,同业存单AAA,0.0013282409392477888,-5.7785191405248275
018809,长信中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0019302834821830718,-2.407756724134794
019017,汇丰晋信中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0013803898316321454,-4.007939372517158
019037,博道中证同业存单AAA指数7天持有期,931059.CSI,同业存单AAA,0.0012321490084866021,-5.621533848853356
019098,中银证券中证同业存单AAA指数7天持有期,931059.CSI,同业存单AAA,0.0012801989426300205,-3.667249151657238
019121,国寿安保中证同业存单AAA指数7天持有期,931059.CSI,同业存单AAA,0.005100420386492292,-0.7604788271601521
019443,浙商汇金中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.001609865483541791,-5.6279030548718625
019572,达诚中证同业存单AAA指数7天持有期,931059.CSI,同业存单AAA,0.0015450347318420059,-9.860606181357413
019616,东财中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0010913978594923556,-4.987941729662352
019683,摩根中证同业存单AAA指数7天持有期,931059.CSI,同业存单AAA,0.0011133936894349356,-4.852925351849673
019754,交银中证同业存单AAA指数7天持有期,931059.CSI,同业存单AAA,0.0011815139973212609,-6.320331814148461
019964,华商中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0012990040257980246,-4.399543816111233
019974,泰康中证同业存单AAA指数7天持有期,931059.CSI,同业存单AAA,0.0015362119296977387,-1.563879475814581
019984,南华同业存单指数7天持有,931059.CSI,同业存单AAA,0.0013705536195865028,-5.187100108268082
020088,泰信中证同业存单AAA指数7天持有期,931059.CSI,同业存单AAA,0.003264980605757155,-0.961103576457676
021300,诺德中证同业存单AAA指数7天持有期,931059.CSI,同业存单AAA,0.0013095758633762241,-6.72567119522989
021527,鑫元中证同业存单AAA指数7天持有期,931059.CSI,同业存单AAA,0.0012833667580093356,-5.002177000664379
021592,易米中证同业存单AAA指数7天持有期,931059.CSI,同业存单AAA,0.0011521066984014358,-5.895579253549524
021748,西部利得同业存单指数7天持有,931059.CSI,同业存单AAA,0.0011481479225975558,-4.660962314737267
021849,财通资管中证同业存单AAA指数7天持有期,931059.CSI,同业存单AAA,0.0012141261950206672,-3.8560970297903077
021903,格林中证同业存单AAA指数7天持有期,931059.CSI,同业存单AAA,0.0011584380094313057,-5.089952351772416
021927,融通中证同业存单AAA指数7天持有期,931059.CSI,同业存单AAA,0.0033060000666441853,-2.695560233548812
022023,大摩中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.003123485823545909,-2.164628999638198
022080,贝莱德中证同业存单AAA指数7天持有期,931059.CSI,同业存单AAA,0.0014945079097451683,-2.5386312676410405
022563,农银中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0010946065902889207,-3.357483203887933
022636,宏利中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0016872582531279677,-1.4732560976475455
023257,国融中证同业存单AAA指数7天持有期,931059.CSI,同业存单AAA,0.0013191887323511884,-5.421142273694634
023268,合煦智远中证同业存单AAA指数7天持有期,931059.CSI,同业存单AAA,0.0016164451073666787,-2.6760872067369097
023279,人保中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0009372757640549028,-5.819128555111178
023509,金鹰中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.001298690944391654,-1.9543367934624976
023577,海富通中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0016827212380730555,-3.2732467312006097
023666,中信保诚中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.001682253822659193,-2.6992006887200564
024199,中邮中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0009666368122703683,-5.4848762863649965
024719,新华中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0012708291110686864,-2.348328405864282
024728,信澳中证同业存单AAA指数7天持有期,931059.CSI,同业存单AAA,0.002303957799920824,-0.4801850492640952
024760,长江中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0010931565961163781,-4.023266433349508
025804,金信中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0010281705127057823,-4.296479125626287
026229,招商资管中证同业存单AAA指数7天持有期,931059.CSI,同业存单AAA,0.0012089393188391196,-2.778962053633959
026250,山证资管中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.00121853318657527,-8.883607944233326
511360,短融ETF海富通,H11014.CSI,中证短融,0.0014755164025818345,-2.6556445087008096
